법령용어명,법령내용
2층대형승합자동차,"{'LsTrmService': {'법령용어일련번호': '5277776', '법령용어명_한글': '2층대형승합자동차', '법령용어명_한자': '2층대형승합자동차', '법령용어코드': '011402', '법령용어코드명': '법령정의사전', '출처': '자동차 및 자동차부품의 성능과 기준에 관한 규칙[국토교통부령 제1499호, 2025.5.30., 일부개정]', '법령용어정의': '운전자 및 승객을 위하여 제공되는 차실의 전체 또는 일부분을 2층 구조로 하면서 위층에는 입석을 하지 아니하는 대형승합자동차를 말한다.'}}"
2헌법연구관보,"{'LsTrmService': {'법령용어일련번호': '631678', '법령용어명_한글': '2헌법연구관보', '법령용어명_한자': None, '법령용어코드': '011403', '법령용어코드명': '법령한영사전', '법령용어정의': 'Assistant of Constitution Research Officers'}}"
3교대근무,"{'LsTrmService': {'법령용어일련번호': ['5078018', '2430004', '5077140'], '법령용어명_한글': ['3교대근무', '3교대근무', '3교대근무'], '법령용어명_한자': ['3교대근무', '3교대근무', '3교대근무'], '법령용어코드': ['011402', '011402', '011402'], '법령용어코드명': ['법령정의사전', '법령정의사전', '법령정의사전'], '출처': ['국립중앙박물관 청원경찰 운영 규정[국립중앙박물관예규 제272호, 2024.5.7., 제정]', '환경부 전일근무관서 교대근무에 관한 규정[환경부훈령 제1144호, 2015.2.27., 제정]', '기상청 청원경찰 복무 및 징계규정[기상청훈령 제1117호, 2024.5.1., 일부개정]'], '법령용어정의': ['주간근무, 야간근무 및 휴무를 일정한 순서에 따라 실시하는 것을 말한다.', '교대근무자가 전일근무, 휴무 및 비번을 일정한 순서에 따라 실시하거나, 주간근무, 야간근무 및 휴무를 일정한 순서에 따라 3일 또는 6일을 주기로 하여 실시하는 것을 말한다.', '주간근무, 야근근무 및 휴무를 일정한 순서에 따라 실시하는 것을 말한다.']}}"
3단계감리,"{'LsTrmService': {'법령용어일련번호': '5211506', '법령용어명_한글': '3단계감리', '법령용어명_한자': '3단계감리', '법령용어코드': '011402', '법령용어코드명': '법령정의사전', '출처': '정보시스템 감리기준[행정안전부고시 제2024-53호, 2024.6.27., 일부개정]', '법령용어정의': '감리대상사업의 요구정의, 설계, 종료 단계로 실시하는 감리를 말한다.'}}"
3중가격,"{'LsTrmService': {'법령용어일련번호': '4414374', '법령용어명_한글': '3중가격', '법령용어명_한자': '3중가격', '법령용어코드': '011402', '법령용어코드명': '법령정의사전', '출처': '상품소개 및 판매방송 심의에 관한 규정[방송통신심의위원회규칙 제152호, 2020.12.28., 일부개정]', '법령용어정의': '시중가와 자사가 및 할인가 등의 형태로 상품가격을 동시에 표시하는 것을 말한다. \n7. 삭 제 <2009.9.1.>'}}"
3차예비력,"{'LsTrmService': {'법령용어일련번호': '4894224', '법령용어명_한글': '3차예비력', '법령용어명_한자': '3차예비력', '법령용어코드': '011402', '법령용어코드명': '법령정의사전', '출처': '전력계통 신뢰도 및 전기품질 유지기준[산업통상자원부고시 제2023-65호, 2023.4.25., 일부개정]', '법령용어정의': '중앙급전발전기를 통해 30분 이내에 확보할 수 있는 예비력을 말한다.'}}"
3차원국토공간정보,"{'LsTrmService': {'법령용어일련번호': ['4751828', '4613601'], '법령용어명_한글': ['3차원 국토공간정보', '3차원국토공간정보'], '법령용어명_한자': ['3차원 국토공간정보', '3차원국토공간정보'], '법령용어코드': ['011402', '011402'], '법령용어코드명': ['법령정의사전', '법령정의사전'], '출처': ['3차원국토공간정보구축작업규정[국토지리정보원고시 제2019-146호, 2019.5.23., 일부개정]', '3차원 국토공간정보구축 사업 관리지침[국토교통부지침 제2021-195호, 2021.12.27., 일부개정]'], '법령용어정의': ['지형지물의 위치ㆍ기하정보를 3차원 좌표로 나타내고, 속성정보, 가시화정보 및 각종 부가정보 등을 추가한 디지털 형태의 정보를 말한다.', '지형ㆍ지물의 위치정보를 3차원 좌표로 나타내고, 속성정보, 가시화정보 및 각종 부가정보 등을 추가한 디지털 형태의 정보를 말한다.']}}"
3차장,"{'LsTrmService': {'법령용어일련번호': '629948', '법령용어명_한글': '3차장', '법령용어명_한자': None, '법령용어코드': '011403', '법령용어코드명': '법령한영사전', '법령용어정의': 'Third Deputy Director'}}"
4교대근무,"{'LsTrmService': {'법령용어일련번호': ['5077141', '2430005'], '법령용어명_한글': ['4교대근무', '4교대근무'], '법령용어명_한자': ['4교대근무', '4교대근무'], '법령용어코드': ['011402', '011402'], '법령용어코드명': ['법령정의사전', '법령정의사전'], '출처': ['기상청 청원경찰 복무 및 징계규정[기상청훈령 제1117호, 2024.5.1., 일부개정]', '환경부 전일근무관서 교대근무에 관한 규정[환경부훈령 제1144호, 2015.2.27., 제정]'], '법령용어정의': ['주간근무, 야간근무, 휴무 및 비번을 일정한 순서에 따라 실시하는 것을 말한다.', '교대근무자가 주간근무, 야간근무, 휴무 및 비번을 일정한 순서에 따라  4일 또는 8일을 주기로 하여 실시하는 것을 말한다.']}}"
4대강새만금과,"{'LsTrmService': {'법령용어일련번호': '631679', '법령용어명_한글': '4대강새만금과', '법령용어명_한자': None, '법령용어코드': '011403', '법령용어코드명': '법령한영사전', '법령용어정의': 'Four Major Rivers and Saemanguem Development Division'}}"
4대보험,"{'LsTrmService': {'법령용어일련번호': '5236099', '법령용어명_한글': '4대보험', '법령용어명_한자': '4대보험', '법령용어코드': '011402', '법령용어코드명': '법령정의사전', '출처': '국가연구개발사업 연구개발비 사용 기준[과학기술정보통신부고시 제2025-9호, 2025.3.6., 일부개정]', '법령용어정의': '「국민연금법」에 따른 국민연금, 「국민건강보험법」에 따른 국민건강보험(「노인장기요양보험법」에 따른 장기요양보험을 포함한다), 「고용보험법」에 따른 고용보험, 「산업재해보상보험법」에 따른 산업재해보상보험을 말한다.'}}"
4에이치,"{'LsTrmService': {'법령용어일련번호': '4228138', '법령용어명_한글': '4에이치', '법령용어명_한자': '4에이치', '법령용어코드': '011402', '법령용어코드명': '법령정의사전', '출처': '한국4에이치활동 지원법[법률 제16993호, 2020.2.11., 일부개정]', '법령용어정의': '명석한 머리[Head, 지육], 충성스런 마음[Heart, 덕육], 부지런한 손[Hands, 노육] 및 건강한 몸[Health, 체육]을 의미하는 네 가지의 이념[4-H]을 말한다.'}}"
4에이치활동,"{'LsTrmService': {'법령용어일련번호': '4228139', '법령용어명_한글': '4에이치활동', '법령용어명_한자': '4에이치활동', '법령용어코드': '011402', '법령용어코드명': '법령정의사전', '출처': '한국4에이치활동 지원법[법률 제16993호, 2020.2.11., 일부개정]', '법령용어정의': '4에이치 이념에 근거한 다음 각 목의 활동을 말한다. \n가. 4에이치 이념을 실천하기 위한 수련활동ㆍ문화활동, 그 밖의 교육훈련활동 \n나. 4에이치 이념을 확산ㆍ발전시키기 위한 홍보출판 및 연구 활동 \n다. 국가간 4에이치 교환훈련 등 국제교류활동 \n라. 그 밖에 4에이치 이념을 강화하고 확산시키기 위한 활동'}}"
55세까지,"{'LsTrmService': {'법령용어일련번호': '4916558', '법령용어명_한글': '55세까지', '법령용어명_한자': '55세까지', '법령용어코드': '011402', '법령용어코드명': '법령정의사전', '출처': '보훈대상자 취업지원 업무처리지침[국가보훈부훈령 제93호, 2024.12.16., 일부개정]', '법령용어정의': '56세가 되는 날의 전날까지를 각각 말한다.'}}"
7세이상시청가,"{'LsTrmService': {'법령용어일련번호': '3777250', '법령용어명_한글': '7세이상시청가', '법령용어명_한자': '7세이상시청가', '법령용어코드': '011402', '법령용어코드명': '법령정의사전', '출처': '방송프로그램의 등급분류 및 표시 등에 관한 규칙[방송통신심의위원회규칙 제126호, 2016.12.28., 일부개정]', '법령용어정의': '7세미만의 어린이가 시청하기에 부적절한 내용이 포함되어 있어 보호자의 시청지도가 필요한 등급을 말한다.'}}"
80킬로미터,"{'LsTrmService': {'법령용어일련번호': '3834776', '법령용어명_한글': '80킬로미터', '법령용어명_한자': '80킬로미터', '법령용어코드': '011402', '법령용어코드명': '법령정의사전', '출처': '토지거래업무처리규정[국토교통부훈령 제858호, 2017.6.1., 일부개정]', '법령용어정의': '직선거리를 말한다. \n1. 자기거주용 주택의 매매계약서 \n2. 전세권 등 주택사용권의 등기 여부 \n3. 「주택임대차보호법」에 따른 확정일자를 부여받은 임대차계약서 \n4. 그 밖에 허가권자가 실제 거주여부를 확인할 수 있는 증명서 \n1. 규칙 제13조에 따른 농업법인을 구성하여 이용하는 경우 \n2. 규칙 제13조의 자격을 갖춘 개인들이 실질적 공동경영을 위하여 공유지분을 취득하는 경우 \n3. 허가구역 지정 이전부터 지분 구성된 공유토지 전체를 경영하던 자가 그 지분과 함께 전체 토지 이용에 관한 권리를 이전하는 경우 \n1. 1천제곱미터 이상의 농지(「농어촌정비법」제98조에 따라 비농업인이 분양받거나 임대받은 농어촌 주택 등에 부속된 농지는 제외한다)를 경영하거나 경작하는 자 \n2. 농업경영을 통한 농산물의 연간판매액이 120만원 이상인 자 \n3. 토지거래 허가신청일을 기점으로 지나간 12개월중 90일 이상 농업에 종사한 자'}}"
9일주기,"{'LsTrmService': {'법령용어일련번호': '5224184', '법령용어명_한글': '9일주기', '법령용어명_한자': '9일주기라 한다)', '법령용어코드': '011402', '법령용어코드명': '법령정의사전', '출처': '철도특별사법경찰관 근무시간 등에 관한 규정[국토교통부훈령 제1849호, 2025.2.12., 일부개정]', '법령용어정의': '교대근무자가 9일주기(주간근무ㆍ주간근무ㆍ주간근무ㆍ야간근무ㆍ비번ㆍ야간근무ㆍ비번ㆍ야간근무ㆍ비번)를 반복적으로 교대근무하는 것을 말한다. <개정 2009. 6. 22., 2010. 1. 18., 2015. 3. 17.>'}}"
A1해역,"{'LsTrmService': {'법령용어일련번호': '4826363', '법령용어명_한글': 'A1해역', '법령용어명_한자': 'A1해역', '법령용어코드': '011402', '법령용어코드명': '법령정의사전', '출처': '무선국의 운용 등에 관한 규정[중앙전파관리소고시 제2020-1호, 2020.9.22., 일부개정]', '법령용어정의': '디지털선택호출경보를 이용할 수 있는 최소한 하나의 초단파대 해안국의 무선전화 통신범위안의 해역을 말한다.'}}"
A2해역,"{'LsTrmService': {'법령용어일련번호': '4826364', '법령용어명_한글': 'A2해역', '법령용어명_한자': 'A2해역', '법령용어코드': '011402', '법령용어코드명': '법령정의사전', '출처': '무선국의 운용 등에 관한 규정[중앙전파관리소고시 제2020-1호, 2020.9.22., 일부개정]', '법령용어정의': '디지털선택호출경보를 이용할 수 있는 최소한 하나의 중단파대 해안국의 무선전화 통신범위안의 해역으로서 A1해역을 제외한 해역을 말한다.'}}"
A3해역,"{'LsTrmService': {'법령용어일련번호': '4826365', '법령용어명_한글': 'A3해역', '법령용어명_한자': 'A3해역', '법령용어코드': '011402', '법령용어코드명': '법령정의사전', '출처': '무선국의 운용 등에 관한 규정[중앙전파관리소고시 제2020-1호, 2020.9.22., 일부개정]', '법령용어정의': '인정된 이동식 위성서비스 통신권 범위안의 해역으로서 A1해역 및 A2해역을 제외한 해역을 말한다.'}}"
A4해역,"{'LsTrmService': {'법령용어일련번호': '4826366', '법령용어명_한글': 'A4해역', '법령용어명_한자': 'A4해역', '법령용어코드': '011402', '법령용어코드명': '법령정의사전', '출처': '무선국의 운용 등에 관한 규정[중앙전파관리소고시 제2020-1호, 2020.9.22., 일부개정]', '법령용어정의': 'A1, A2 및 A3해역 밖의 해역을 말한다.'}}"
abandonment,"{'LsTrmService': {'법령용어일련번호': '619114', '법령용어명_한글': 'abandonment', '법령용어명_한자': None, '법령용어코드': '011403', '법령용어코드명': '법령한영사전', '법령용어정의': '방기;보험위부(保險委付);위부(委付);유기(遺棄);투기(投棄);폐기'}}"
abatement,"{'LsTrmService': {'법령용어일련번호': '618310', '법령용어명_한글': 'abatement', '법령용어명_한자': None, '법령용어코드': '011403', '법령용어코드명': '법령한영사전', '법령용어정의': '경감'}}"
abbreviation,"{'LsTrmService': {'법령용어일련번호': '619539', '법령용어명_한글': 'abbreviation', '법령용어명_한자': None, '법령용어코드': '011403', '법령용어코드명': '법령한영사전', '법령용어정의': '약칭'}}"
abduction,"{'LsTrmService': {'법령용어일련번호': '618311', '법령용어명_한글': 'abduction', '법령용어명_한자': None, '법령용어코드': '011403', '법령용어코드명': '법령한영사전', '법령용어정의': '납치;약취;탈취'}}"
abetment,"{'LsTrmService': {'법령용어일련번호': '617953', '법령용어명_한글': 'abetment', '법령용어명_한자': None, '법령용어코드': '011403', '법령용어코드명': '법령한영사전', '법령용어정의': '교사(敎唆)'}}"
abetter,"{'LsTrmService': {'법령용어일련번호': '617627', '법령용어명_한글': 'abetter', '법령용어명_한자': None, '법령용어코드': '011403', '법령용어코드명': '법령한영사전', '법령용어정의': '교사(敎唆)범;교사(敎唆)자'}}"
abettor,"{'LsTrmService': {'법령용어일련번호': '617628', '법령용어명_한글': 'abettor', '법령용어명_한자': None, '법령용어코드': '011403', '법령용어코드명': '법령한영사전', '법령용어정의': '교사(敎唆)범;교사(敎唆)자'}}"
abidance,"{'LsTrmService': {'법령용어일련번호': '617954', '법령용어명_한글': 'abidance', '법령용어명_한자': None, '법령용어코드': '011403', '법령용어코드명': '법령한영사전', '법령용어정의': '준수'}}"
ability,"{'LsTrmService': {'법령용어일련번호': '617629', '법령용어명_한글': 'ability', '법령용어명_한자': None, '법령용어코드': '011403', '법령용어코드명': '법령한영사전', '법령용어정의': '능력'}}"
abode,"{'LsTrmService': {'법령용어일련번호': '617220', '법령용어명_한글': 'abode', '법령용어명_한자': None, '법령용어코드': '011403', '법령용어코드명': '법령한영사전', '법령용어정의': '주거'}}"
abolition,"{'LsTrmService': {'법령용어일련번호': '618312', '법령용어명_한글': 'abolition', '법령용어명_한자': None, '법령용어코드': '011403', '법령용어코드명': '법령한영사전', '법령용어정의': '폐기;낙태'}}"
abortion,"{'LsTrmService': {'법령용어일련번호': '617955', '법령용어명_한글': 'abortion', '법령용어명_한자': None, '법령용어코드': '011403', '법령용어코드명': '법령한영사전', '법령용어정의': '유산(流産);정지'}}"
abrogation,"{'LsTrmService': {'법령용어일련번호': '618701', '법령용어명_한글': 'abrogation', '법령용어명_한자': None, '법령용어코드': '011403', '법령용어코드명': '법령한영사전', '법령용어정의': '폐기'}}"
absence,"{'LsTrmService': {'법령용어일련번호': '617630', '법령용어명_한글': 'absence', '법령용어명_한자': None, '법령용어코드': '011403', '법령용어코드명': '법령한영사전', '법령용어정의': '결석;궐석;불출석'}}"
absentee,"{'LsTrmService': {'법령용어일련번호': '617956', '법령용어명_한글': 'absentee', '법령용어명_한자': None, '법령용어코드': '011403', '법령용어코드명': '법령한영사전', '법령용어정의': '부재자'}}"
abstract,"{'LsTrmService': {'법령용어일련번호': '617957', '법령용어명_한글': 'abstract', '법령용어명_한자': None, '법령용어코드': '011403', '법령용어코드명': '법령한영사전', '법령용어정의': '요약;요약서'}}"
abuse,"{'LsTrmService': {'법령용어일련번호': '617221', '법령용어명_한글': 'abuse', '법령용어명_한자': None, '법령용어코드': '011403', '법령용어코드명': '법령한영사전', '법령용어정의': '남용;학대'}}"
acceptance,"{'LsTrmService': {'법령용어일련번호': '618702', '법령용어명_한글': 'acceptance', '법령용어명_한자': None, '법령용어코드': '011403', '법령용어코드명': '법령한영사전', '법령용어정의': '수락;수령;수리(受理);승낙;접수'}}"
accepter,"{'LsTrmService': {'법령용어일련번호': '617958', '법령용어명_한글': 'accepter', '법령용어명_한자': None, '법령용어코드': '011403', '법령용어코드명': '법령한영사전', '법령용어정의': '승낙자'}}"
acceptor,"{'LsTrmService': {'법령용어일련번호': '617959', '법령용어명_한글': 'acceptor', '법령용어명_한자': None, '법령용어코드': '011403', '법령용어코드명': '법령한영사전', '법령용어정의': '인수인'}}"
accession,"{'LsTrmService': {'법령용어일련번호': '618313', '법령용어명_한글': 'accession', '법령용어명_한자': None, '법령용어코드': '011403', '법령용어코드명': '법령한영사전', '법령용어정의': '가입;동의'}}"
accessories,"{'LsTrmService': {'법령용어일련번호': '619115', '법령용어명_한글': 'accessories', '법령용어명_한자': None, '법령용어코드': '011403', '법령용어코드명': '법령한영사전', '법령용어정의': '종물'}}"
accessory,"{'LsTrmService': {'법령용어일련번호': '618314', '법령용어명_한글': 'accessory', '법령용어명_한자': None, '법령용어코드': '011403', '법령용어코드명': '법령한영사전', '법령용어정의': '종범'}}"
accident,"{'LsTrmService': {'법령용어일련번호': '617960', '법령용어명_한글': 'accident', '법령용어명_한자': None, '법령용어코드': '011403', '법령용어코드명': '법령한영사전', '법령용어정의': '사고;유고(有故);재해'}}"
accommodation,"{'LsTrmService': {'법령용어일련번호': '619937', '법령용어명_한글': 'accommodation', '법령용어명_한자': None, '법령용어코드': '011403', '법령용어코드명': '법령한영사전', '법령용어정의': '수용(收容)'}}"
accomplice,"{'LsTrmService': {'법령용어일련번호': '618703', '법령용어명_한글': 'accomplice', '법령용어명_한자': None, '법령용어코드': '011403', '법령용어코드명': '법령한영사전', '법령용어정의': '공범'}}"
accomplices,"{'LsTrmService': {'법령용어일련번호': '619116', '법령용어명_한글': 'accomplices', '법령용어명_한자': None, '법령용어코드': '011403', '법령용어코드명': '법령한영사전', '법령용어정의': '공범자'}}"
accomplishment,"{'LsTrmService': {'법령용어일련번호': '620381', '법령용어명_한글': 'accomplishment', '법령용어명_한자': None, '법령용어코드': '011403', '법령용어코드명': '법령한영사전', '법령용어정의': '공로(功勞)'}}"
account,"{'LsTrmService': {'법령용어일련번호': '617631', '법령용어명_한글': 'account', '법령용어명_한자': None, '법령용어코드': '011403', '법령용어코드명': '법령한영사전', '법령용어정의': '계정;회계'}}"
accountant,"{'LsTrmService': {'법령용어일련번호': '618704', '법령용어명_한글': 'accountant', '법령용어명_한자': None, '법령용어코드': '011403', '법령용어코드명': '법령한영사전', '법령용어정의': '회계사'}}"
accounting,"{'LsTrmService': {'법령용어일련번호': '618705', '법령용어명_한글': 'accounting', '법령용어명_한자': None, '법령용어코드': '011403', '법령용어코드명': '법령한영사전', '법령용어정의': '회계'}}"
accounts,"{'LsTrmService': {'법령용어일련번호': '617961', '법령용어명_한글': 'accounts', '법령용어명_한자': None, '법령용어코드': '011403', '법령용어코드명': '법령한영사전', '법령용어정의': '계산서'}}"
accumulation,"{'LsTrmService': {'법령용어일련번호': '619541', '법령용어명_한글': 'accumulation', '법령용어명_한자': None, '법령용어코드': '011403', '법령용어코드명': '법령한영사전', '법령용어정의': '적립'}}"
accusation,"{'LsTrmService': {'법령용어일련번호': '618706', '법령용어명_한글': 'accusation', '법령용어명_한자': None, '법령용어코드': '011403', '법령용어코드명': '법령한영사전', '법령용어정의': '고발;고소;소추'}}"
accuser,"{'LsTrmService': {'법령용어일련번호': '617632', '법령용어명_한글': 'accuser', '법령용어명_한자': None, '법령용어코드': '011403', '법령용어코드명': '법령한영사전', '법령용어정의': '고발인;고소인'}}"
acknowledgement,"{'LsTrmService': {'법령용어일련번호': '620857', '법령용어명_한글': 'acknowledgement', '법령용어명_한자': None, '법령용어코드': '011403', '법령용어코드명': '법령한영사전', '법령용어정의': '인지(認知);자인'}}"
ACL,"{'LsTrmService': {'법령용어일련번호': '4139822', '법령용어명_한글': 'ACL', '법령용어명_한자': 'ACL', '법령용어코드': '011402', '법령용어코드명': '법령정의사전', '출처': '정보보호조치에 관한 지침[과학기술정보통신부고시 제2017-7호, 2017.8.24., 타법개정]', '법령용어정의': '특정 시스템에 접근할 수 있는 권한을 컴퓨터 운영체계에 알리기 위해 설정해 놓은 목록을 말한다.'}}"
acquiescence,"{'LsTrmService': {'법령용어일련번호': '619543', '법령용어명_한글': 'acquiescence', '법령용어명_한자': None, '법령용어코드': '011403', '법령용어코드명': '법령한영사전', '법령용어정의': '묵인'}}"
acquisition,"{'LsTrmService': {'법령용어일련번호': '619117', '법령용어명_한글': 'acquisition', '법령용어명_한자': None, '법령용어코드': '011403', '법령용어코드명': '법령한영사전', '법령용어정의': '습득(習得);취득'}}"
acquisitor,"{'LsTrmService': {'법령용어일련번호': '618707', '법령용어명_한글': 'acquisitor', '법령용어명_한자': None, '법령용어코드': '011403', '법령용어코드명': '법령한영사전', '법령용어정의': '취득자'}}"
acquittal,"{'LsTrmService': {'법령용어일련번호': '618315', '법령용어명_한글': 'acquittal', '법령용어명_한자': None, '법령용어코드': '011403', '법령용어코드명': '법령한영사전', '법령용어정의': '무죄'}}"
Act,"{'LsTrmService': {'법령용어일련번호': '617067', '법령용어명_한글': 'Act', '법령용어명_한자': None, '법령용어코드': '011403', '법령용어코드명': '법령한영사전', '법령용어정의': '법률'}}"
act,"{'LsTrmService': {'법령용어일련번호': '617068', '법령용어명_한글': 'act', '법령용어명_한자': None, '법령용어코드': '011403', '법령용어코드명': '법령한영사전', '법령용어정의': '작위;행위'}}"
activities,"{'LsTrmService': {'법령용어일련번호': '618709', '법령용어명_한글': 'activities', '법령용어명_한자': None, '법령용어코드': '011403', '법령용어코드명': '법령한영사전', '법령용어정의': '업무'}}"
activity,"{'LsTrmService': {'법령용어일련번호': '617962', '법령용어명_한글': 'activity', '법령용어명_한자': None, '법령용어코드': '011403', '법령용어코드명': '법령한영사전', '법령용어정의': '행사(行事)'}}"
actor,"{'LsTrmService': {'법령용어일련번호': '617222', '법령용어명_한글': 'actor', '법령용어명_한자': None, '법령용어코드': '011403', '법령용어코드명': '법령한영사전', '법령용어정의': '행위자'}}"
adaptation,"{'LsTrmService': {'법령용어일련번호': '618710', '법령용어명_한글': 'adaptation', '법령용어명_한자': None, '법령용어코드': '011403', '법령용어코드명': '법령한영사전', '법령용어정의': '적응'}}"
addict,"{'LsTrmService': {'법령용어일련번호': '617388', '법령용어명_한글': 'addict', '법령용어명_한자': None, '법령용어코드': '011403', '법령용어코드명': '법령한영사전', '법령용어정의': '중독자'}}"
addiction,"{'LsTrmService': {'법령용어일련번호': '618316', '법령용어명_한글': 'addiction', '법령용어명_한자': None, '법령용어코드': '011403', '법령용어코드명': '법령한영사전', '법령용어정의': '중독'}}"
adding,"{'LsTrmService': {'법령용어일련번호': '617389', '법령용어명_한글': 'adding', '법령용어명_한자': None, '법령용어코드': '011403', '법령용어코드명': '법령한영사전', '법령용어정의': '합산'}}"
addition,"{'LsTrmService': {'법령용어일련번호': '617963', '법령용어명_한글': 'addition', '법령용어명_한자': None, '법령용어코드': '011403', '법령용어코드명': '법령한영사전', '법령용어정의': '산입'}}"
additive,"{'LsTrmService': {'법령용어일련번호': '617964', '법령용어명_한글': 'additive', '법령용어명_한자': None, '법령용어코드': '011403', '법령용어코드명': '법령한영사전', '법령용어정의': '첨가제'}}"
address,"{'LsTrmService': {'법령용어일련번호': '617633', '법령용어명_한글': 'address', '법령용어명_한자': None, '법령용어코드': '011403', '법령용어코드명': '법령한영사전', '법령용어정의': '주소'}}"
addressee,"{'LsTrmService': {'법령용어일련번호': '618318', '법령용어명_한글': 'addressee', '법령용어명_한자': None, '법령용어코드': '011403', '법령용어코드명': '법령한영사전', '법령용어정의': '수신인;수취인'}}"
adjournment,"{'LsTrmService': {'법령용어일련번호': '619121', '법령용어명_한글': 'adjournment', '법령용어명_한자': None, '법령용어코드': '011403', '법령용어코드명': '법령한영사전', '법령용어정의': '휴회'}}"
adjudgment,"{'LsTrmService': {'법령용어일련번호': '618711', '법령용어명_한글': 'adjudgment', '법령용어명_한자': None, '법령용어코드': '011403', '법령용어코드명': '법령한영사전', '법령용어정의': '판정'}}"
adjudication,"{'LsTrmService': {'법령용어일련번호': '619546', '법령용어명_한글': 'adjudication', '법령용어명_한자': None, '법령용어코드': '011403', '법령용어코드명': '법령한영사전', '법령용어정의': '선고;심판;심판결정;재결;재정(裁定);판결;판정'}}"
adjustment,"{'LsTrmService': {'법령용어일련번호': '618712', '법령용어명_한글': 'adjustment', '법령용어명_한자': None, '법령용어코드': '011403', '법령용어코드명': '법령한영사전', '법령용어정의': '적응;정비'}}"
administration,"{'LsTrmService': {'법령용어일련번호': '620392', '법령용어명_한글': 'administration', '법령용어명_한자': None, '법령용어코드': '011403', '법령용어코드명': '법령한영사전', '법령용어정의': '관리;운영;행정;행정부'}}"
administrator,"{'LsTrmService': {'법령용어일련번호': '619940', '법령용어명_한글': 'administrator', '법령용어명_한자': None, '법령용어코드': '011403', '법령용어코드명': '법령한영사전', '법령용어정의': '관재인'}}"
admission,"{'LsTrmService': {'법령용어일련번호': '618319', '법령용어명_한글': 'admission', '법령용어명_한자': None, '법령용어코드': '011403', '법령용어코드명': '법령한영사전', '법령용어정의': '입국;자백;자복'}}"
admonition,"{'LsTrmService': {'법령용어일련번호': '618713', '법령용어명_한글': 'admonition', '법령용어명_한자': None, '법령용어코드': '011403', '법령용어코드명': '법령한영사전', '법령용어정의': '계고;훈계'}}"
adoption,"{'LsTrmService': {'법령용어일련번호': '617965', '법령용어명_한글': 'adoption', '법령용어명_한자': None, '법령용어코드': '011403', '법령용어코드명': '법령한영사전', '법령용어정의': '입양'}}"
adult,"{'LsTrmService': {'법령용어일련번호': '617223', '법령용어명_한글': 'adult', '법령용어명_한자': None, '법령용어코드': '011403', '법령용어코드명': '법령한영사전', '법령용어정의': '성년;성년자;성인'}}"
adultery,"{'LsTrmService': {'법령용어일련번호': '617966', '법령용어명_한글': 'adultery', '법령용어명_한자': None, '법령용어코드': '011403', '법령용어코드명': '법령한영사전', '법령용어정의': '간음;간통'}}"
advance,"{'LsTrmService': {'법령용어일련번호': '617634', '법령용어명_한글': 'advance', '법령용어명_한자': None, '법령용어코드': '011403', '법령용어코드명': '법령한영사전', '법령용어정의': '선수금'}}"
advancement,"{'LsTrmService': {'법령용어일련번호': '619122', '법령용어명_한글': 'advancement', '법령용어명_한자': None, '법령용어코드': '011403', '법령용어코드명': '법령한영사전', '법령용어정의': '진보성'}}"
advantage,"{'LsTrmService': {'법령용어일련번호': '618320', '법령용어명_한글': 'advantage', '법령용어명_한자': None, '법령용어코드': '011403', '법령용어코드명': '법령한영사전', '법령용어정의': '원용'}}"
advertisement,"{'LsTrmService': {'법령용어일련번호': '619943', '법령용어명_한글': 'advertisement', '법령용어명_한자': None, '법령용어코드': '011403', '법령용어코드명': '법령한영사전', '법령용어정의': '광고;선전;홍보'}}"
advice,"{'LsTrmService': {'법령용어일련번호': '617390', '법령용어명_한글': 'advice', '법령용어명_한자': None, '법령용어코드': '011403', '법령용어코드명': '법령한영사전', '법령용어정의': '자문;지도(指導)'}}"
adviser,"{'LsTrmService': {'법령용어일련번호': '617635', '법령용어명_한글': 'adviser', '법령용어명_한자': None, '법령용어코드': '011403', '법령용어코드명': '법령한영사전', '법령용어정의': '고문(顧問)'}}"
advocacy,"{'LsTrmService': {'법령용어일련번호': '617967', '법령용어명_한글': 'advocacy', '법령용어명_한자': None, '법령용어코드': '011403', '법령용어코드명': '법령한영사전', '법령용어정의': '주장'}}"
advocate,"{'LsTrmService': {'법령용어일련번호': '617968', '법령용어명_한글': 'advocate', '법령용어명_한자': None, '법령용어코드': '011403', '법령용어코드명': '법령한영사전', '법령용어정의': '변호사;변호인'}}"
advocation,"{'LsTrmService': {'법령용어일련번호': '618714', '법령용어명_한글': 'advocation', '법령용어명_한자': None, '법령용어코드': '011403', '법령용어코드명': '법령한영사전', '법령용어정의': '변호'}}"
affair,"{'LsTrmService': {'법령용어일련번호': '617391', '법령용어명_한글': 'affair', '법령용어명_한자': None, '법령용어코드': '011403', '법령용어코드명': '법령한영사전', '법령용어정의': '역무'}}"
affairs,"{'LsTrmService': {'법령용어일련번호': '617636', '법령용어명_한글': 'affairs', '법령용어명_한자': None, '법령용어코드': '011403', '법령용어코드명': '법령한영사전', '법령용어정의': '업무'}}"
affiliated,"{'LsTrmService': {'법령용어일련번호': '618715', '법령용어명_한글': 'affiliated', '법령용어명_한자': None, '법령용어코드': '011403', '법령용어코드명': '법령한영사전', '법령용어정의': '소속된'}}"
